Country,share_incandescent,share_cfl,share_fluorescent,share_halogen,share_led,source_primary,source_sanity_iea,source_sanity_aeo8,source_tier,refresh_needed,notes
Brunei Darussalam,0.04,0.1,0.1,0.04,0.72,"UNEP U4E (2020) — BRN interpolated from SGP/MYS penetration + income-similarity (upper-middle-income, near-universal electrification)",IEA SEA EO 2022 — BRN residential profile tracks MYS/SGP,AEO-8 (ACE 2023) — BRN interpolated,triangulated-placeholder,True,High-LED upper-middle-income AMS. Limited disaggregated data; mix interpolated between MYS and SGP.
Cambodia,0.13,0.22,0.18,0.02,0.45,UNEP U4E (2020) — KHM lighting market assessment (limited-panel survey),IEA SEA EO 2022 — KHM residential (grid expanding),AEO-8 (ACE 2023) — KHM residential,triangulated-placeholder,True,Lower-income AMS. LED rising but CFL/linear-fluorescent + residual incandescent still hold significant share; sparse survey data.
Indonesia,0.09,0.2,0.16,0.03,0.52,UNEP U4E (2020) — IDN residential lamp-stock penetration (largest residential lighting stock in ASEAN),"IEA SEA EO 2022 — IDN residential, rural-urban split",AEO-8 (ACE 2023) — IDN residential,triangulated-placeholder,True,"Large population, rural-urban heterogeneity. Urban LED majority; rural retains more CFL/incandescent; population-weighted mix shown."
Lao PDR,0.14,0.23,0.19,0.02,0.42,UNEP U4E (2020) — LAO lighting market assessment (limited data),IEA SEA EO 2022 — LAO residential,AEO-8 (ACE 2023) — LAO residential,triangulated-placeholder,True,"Lower-income AMS, sparse data. LED penetration trails the region; CFL + linear fluorescent + incandescent retain combined majority."
Malaysia,0.05,0.13,0.13,0.04,0.65,UNEP U4E (2020) — MYS residential lamp-stock penetration,IEA SEA EO 2022 — MYS LED scale-up through 2010s,AEO-8 (ACE 2023) — MYS residential,triangulated-placeholder,True,Urbanised middle-tier AMS. Strong LED majority with residual CFL + linear fluorescent in kitchens/corridors; Suruhanjaya Tenaga MEPS accelerated the transition.
Myanmar,0.15,0.23,0.2,0.02,0.4,UNEP U4E (2020) — MMR lighting market assessment (pre-2021 data),IEA SEA EO 2022 — MMR residential (lowest historic grid access),AEO-8 (ACE 2023) — MMR residential,triangulated-placeholder,True,Lowest-LED AMS on pre-2021 baseline. Post-2021 disruption not reflected; widest uncertainty. CFL/fluorescent/incandescent retain combined majority.
Philippines,0.09,0.18,0.15,0.03,0.55,UNEP U4E (2020) — PHL residential lamp-stock penetration,IEA SEA EO 2022 — PHL residential (high tariffs drive efficient-lamp uptake),AEO-8 (ACE 2023) — PHL residential,triangulated-placeholder,True,High retail tariffs incentivise LED switchover; CFL bridge stock still present; DOE LEEP labelling supports the transition.
Singapore,0.01,0.08,0.08,0.03,0.8,UNEP U4E (2020) ASEAN Regional Lighting Market Assessment — SGP residential lamp-stock penetration,IEA Southeast Asia Energy Outlook 2022 — LED scale-up; SGP near-complete LED transition,AEO-8 (ACE 2023) + ACE (2026) compilation — SGP supply base LED-dominant,triangulated-placeholder,True,Highest-LED AMS. Near-complete LED retrofit; small residual CFL/T-tube in older HDB fixtures; incandescent effectively phased out.
Thailand,0.06,0.15,0.14,0.03,0.62,UNEP U4E (2020) — THA residential lamp-stock penetration,IEA SEA EO 2022 — THA LED transition,AEO-8 (ACE 2023) — THA residential,triangulated-placeholder,True,Middle-tier AMS. LED majority; EGAT No.5 labelling drove LED adoption; linear fluorescent still common in older homes.
Viet Nam,0.07,0.18,0.17,0.03,0.55,UNEP U4E (2020) — VNM residential lamp-stock penetration,IEA SEA EO 2022 — VNM rapid residential electrification + LED uptake,AEO-8 (ACE 2023) — VNM residential,triangulated-placeholder,True,"Lower-middle-tier AMS, fast LED rise. Linear fluorescent (T8) historically dominant; CFL bridge stock still material in 2023."
