ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Timor Leste,Resources\Secondary\Methanol,Import Cost,400,2020 USD/Metric Tonne,Methanol,nemo_read p4 placeholder (Timor Leste extension of p3 cost fixes),"PLACEHOLDER (Stage 5: Timor Leste cost-bomb cleanup. p3 (2026-05-11) covered 10 standard AMS but missed R20 Timor Leste, leaving 16 NEMO VariableCost rows in the 10⁻⁵ bomb tier for S32I/S34I/S38I/S52D and re-introducing CPLEX conditioning failure after fossil push. Same realistic-cost values as p3 for the other 10 AMS.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,cost_diagnostic,PLACEHOLDER
Timor Leste,Resources\Primary\Cassava,Import Cost,92.7,2020 USD/Metric Tonne,Cassava,nemo_read p4 placeholder (Timor Leste extension of p3 cost fixes),"PLACEHOLDER (Stage 5: Timor Leste cost-bomb cleanup. p3 (2026-05-11) covered 10 standard AMS but missed R20 Timor Leste, leaving 16 NEMO VariableCost rows in the 10⁻⁵ bomb tier for S32I/S34I/S38I/S52D and re-introducing CPLEX conditioning failure after fossil push. Same realistic-cost values as p3 for the other 10 AMS.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,cost_diagnostic,PLACEHOLDER
Timor Leste,Resources\Secondary\Coke Oven Gas,Import Cost,50,2020 USD/Metric Tonne,Coke Oven Gas,nemo_read p4 placeholder (Timor Leste extension of p3 cost fixes),"PLACEHOLDER (Stage 5: Timor Leste cost-bomb cleanup. p3 (2026-05-11) covered 10 standard AMS but missed R20 Timor Leste, leaving 16 NEMO VariableCost rows in the 10⁻⁵ bomb tier for S32I/S34I/S38I/S52D and re-introducing CPLEX conditioning failure after fossil push. Same realistic-cost values as p3 for the other 10 AMS.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,cost_diagnostic,PLACEHOLDER
Timor Leste,Resources\Primary\Municipal Solid Waste,Production Cost,20,2020 USD/Metric Tonne,Municipal Solid Waste,nemo_read p4 placeholder (Timor Leste extension of p3 cost fixes),"PLACEHOLDER (Stage 5: Timor Leste cost-bomb cleanup. p3 (2026-05-11) covered 10 standard AMS but missed R20 Timor Leste, leaving 16 NEMO VariableCost rows in the 10⁻⁵ bomb tier for S32I/S34I/S38I/S52D and re-introducing CPLEX conditioning failure after fossil push. Same realistic-cost values as p3 for the other 10 AMS.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,cost_diagnostic,PLACEHOLDER
Brunei,Transformation\Centralized Electricity Generation\Processes\Solar PV,Minimum Utilization,0,,Electricity,nemo_read p4 placeholder (extends 2026-04-30 Brunei variable-renewable MU=0 pattern),"PLACEHOLDER (Stage 5: Variable-renewable MU forced to AvailabilityFactor profile creates uncurtailable must-run causing r1e RAS primal-INFEASIBLE. Extends the 2026-04-30 Brunei pattern to all 11 AMS for 7 variable-renewable tech families. Per CLAUDE.md §8 + user insight 2026-05-11: MU=0 is the physically realistic modelling shape for variable renewables; blend mandates and economics drive dispatch via demand-pull, not must-run forcing.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Brunei,Transformation\Distributed Electricity Generation\Processes\Solar PV Rooftop,Minimum Utilization,0,,Electricity,nemo_read p4 placeholder (extends 2026-04-30 Brunei variable-renewable MU=0 pattern),"PLACEHOLDER (Stage 5: Variable-renewable MU forced to AvailabilityFactor profile creates uncurtailable must-run causing r1e RAS primal-INFEASIBLE. Extends the 2026-04-30 Brunei pattern to all 11 AMS for 7 variable-renewable tech families. Per CLAUDE.md §8 + user insight 2026-05-11: MU=0 is the physically realistic modelling shape for variable renewables; blend mandates and economics drive dispatch via demand-pull, not must-run forcing.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Brunei,Transformation\Centralized Electricity Generation\Processes\Solar Floating,Minimum Utilization,0,,Electricity,nemo_read p4 placeholder (extends 2026-04-30 Brunei variable-renewable MU=0 pattern),"PLACEHOLDER (Stage 5: Variable-renewable MU forced to AvailabilityFactor profile creates uncurtailable must-run causing r1e RAS primal-INFEASIBLE. Extends the 2026-04-30 Brunei pattern to all 11 AMS for 7 variable-renewable tech families. Per CLAUDE.md §8 + user insight 2026-05-11: MU=0 is the physically realistic modelling shape for variable renewables; blend mandates and economics drive dispatch via demand-pull, not must-run forcing.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Brunei,Transformation\Centralized Electricity Generation\Processes\Wind Onshore,Minimum Utilization,0,,Electricity,nemo_read p4 placeholder (extends 2026-04-30 Brunei variable-renewable MU=0 pattern),"PLACEHOLDER (Stage 5: Variable-renewable MU forced to AvailabilityFactor profile creates uncurtailable must-run causing r1e RAS primal-INFEASIBLE. Extends the 2026-04-30 Brunei pattern to all 11 AMS for 7 variable-renewable tech families. Per CLAUDE.md §8 + user insight 2026-05-11: MU=0 is the physically realistic modelling shape for variable renewables; blend mandates and economics drive dispatch via demand-pull, not must-run forcing.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Brunei,Transformation\Centralized Electricity Generation\Processes\Tidal,Minimum Utilization,0,,Electricity,nemo_read p4 placeholder (extends 2026-04-30 Brunei variable-renewable MU=0 pattern),"PLACEHOLDER (Stage 5: Variable-renewable MU forced to AvailabilityFactor profile creates uncurtailable must-run causing r1e RAS primal-INFEASIBLE. Extends the 2026-04-30 Brunei pattern to all 11 AMS for 7 variable-renewable tech families. Per CLAUDE.md §8 + user insight 2026-05-11: MU=0 is the physically realistic modelling shape for variable renewables; blend mandates and economics drive dispatch via demand-pull, not must-run forcing.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Brunei,Transformation\Centralized Electricity Generation\Processes\Wave,Minimum Utilization,0,,Electricity,nemo_read p4 placeholder (extends 2026-04-30 Brunei variable-renewable MU=0 pattern),"PLACEHOLDER (Stage 5: Variable-renewable MU forced to AvailabilityFactor profile creates uncurtailable must-run causing r1e RAS primal-INFEASIBLE. Extends the 2026-04-30 Brunei pattern to all 11 AMS for 7 variable-renewable tech families. Per CLAUDE.md §8 + user insight 2026-05-11: MU=0 is the physically realistic modelling shape for variable renewables; blend mandates and economics drive dispatch via demand-pull, not must-run forcing.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Brunei,Transformation\Centralized Electricity Generation\Processes\Small Hydro,Minimum Utilization,0,,Electricity,nemo_read p4 placeholder (extends 2026-04-30 Brunei variable-renewable MU=0 pattern),"PLACEHOLDER (Stage 5: Variable-renewable MU forced to AvailabilityFactor profile creates uncurtailable must-run causing r1e RAS primal-INFEASIBLE. Extends the 2026-04-30 Brunei pattern to all 11 AMS for 7 variable-renewable tech families. Per CLAUDE.md §8 + user insight 2026-05-11: MU=0 is the physically realistic modelling shape for variable renewables; blend mandates and economics drive dispatch via demand-pull, not must-run forcing.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Cambodia,Transformation\Centralized Electricity Generation\Processes\Solar PV,Minimum Utilization,0,,Electricity,nemo_read p4 placeholder (extends 2026-04-30 Brunei variable-renewable MU=0 pattern),"PLACEHOLDER (Stage 5: Variable-renewable MU forced to AvailabilityFactor profile creates uncurtailable must-run causing r1e RAS primal-INFEASIBLE. Extends the 2026-04-30 Brunei pattern to all 11 AMS for 7 variable-renewable tech families. Per CLAUDE.md §8 + user insight 2026-05-11: MU=0 is the physically realistic modelling shape for variable renewables; blend mandates and economics drive dispatch via demand-pull, not must-run forcing.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Cambodia,Transformation\Distributed Electricity Generation\Processes\Solar PV Rooftop,Minimum Utilization,0,,Electricity,nemo_read p4 placeholder (extends 2026-04-30 Brunei variable-renewable MU=0 pattern),"PLACEHOLDER (Stage 5: Variable-renewable MU forced to AvailabilityFactor profile creates uncurtailable must-run causing r1e RAS primal-INFEASIBLE. Extends the 2026-04-30 Brunei pattern to all 11 AMS for 7 variable-renewable tech families. Per CLAUDE.md §8 + user insight 2026-05-11: MU=0 is the physically realistic modelling shape for variable renewables; blend mandates and economics drive dispatch via demand-pull, not must-run forcing.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Cambodia,Transformation\Centralized Electricity Generation\Processes\Solar Floating,Minimum Utilization,0,,Electricity,nemo_read p4 placeholder (extends 2026-04-30 Brunei variable-renewable MU=0 pattern),"PLACEHOLDER (Stage 5: Variable-renewable MU forced to AvailabilityFactor profile creates uncurtailable must-run causing r1e RAS primal-INFEASIBLE. Extends the 2026-04-30 Brunei pattern to all 11 AMS for 7 variable-renewable tech families. Per CLAUDE.md §8 + user insight 2026-05-11: MU=0 is the physically realistic modelling shape for variable renewables; blend mandates and economics drive dispatch via demand-pull, not must-run forcing.)",placeholder_p4_v042_TL_costs_plus_varRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
