ams,branch,variable,expression,unit,fuel,source,note,src_csv,data_confidence,scenario
Timor Leste,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Activity Level,"Interp(2025, 0, 2060, 0)",Saturation,,nemo_read commercial domain stand-up 2026-07-22,zero-supply seed (CLAUDE.md SA.18) - Timor Leste is disabled in the LEAP calc; explicit zeros prevent LEAP defaults being inherited on an --include-timor-leste run,,Seed,
Timor Leste,Demand\Commercial\Other Commercial\End Use Projection\Air Conditioning,Commercial Uncalibrated Energy Intensity,"Interp(2025, 0, 2060, 0)",kWh/m2,,nemo_read commercial domain stand-up 2026-07-22,zero-supply seed (CLAUDE.md SA.18) - Timor Leste is disabled in the LEAP calc; explicit zeros prevent LEAP defaults being inherited on an --include-timor-leste run,,Seed,
Timor Leste,Demand\Commercial\Other Commercial\End Use Projection\Cooking and Food Processing,Activity Level,"Interp(2025, 0, 2060, 0)",Saturation,,nemo_read commercial domain stand-up 2026-07-22,zero-supply seed (CLAUDE.md SA.18) - Timor Leste is disabled in the LEAP calc; explicit zeros prevent LEAP defaults being inherited on an --include-timor-leste run,,Seed,
Timor Leste,Demand\Commercial\Other Commercial\End Use Projection\Cooking and Food Processing,Commercial Uncalibrated Energy Intensity,"Interp(2025, 0, 2060, 0)",kWh/m2,,nemo_read commercial domain stand-up 2026-07-22,zero-supply seed (CLAUDE.md SA.18) - Timor Leste is disabled in the LEAP calc; explicit zeros prevent LEAP defaults being inherited on an --include-timor-leste run,,Seed,
Timor Leste,Demand\Commercial\Other Commercial\End Use Projection\Lighting,Activity Level,"Interp(2025, 0, 2060, 0)",Saturation,,nemo_read commercial domain stand-up 2026-07-22,zero-supply seed (CLAUDE.md SA.18) - Timor Leste is disabled in the LEAP calc; explicit zeros prevent LEAP defaults being inherited on an --include-timor-leste run,,Seed,
Timor Leste,Demand\Commercial\Other Commercial\End Use Projection\Lighting,Commercial Uncalibrated Energy Intensity,"Interp(2025, 0, 2060, 0)",kWh/m2,,nemo_read commercial domain stand-up 2026-07-22,zero-supply seed (CLAUDE.md SA.18) - Timor Leste is disabled in the LEAP calc; explicit zeros prevent LEAP defaults being inherited on an --include-timor-leste run,,Seed,
Timor Leste,Demand\Commercial\Other Commercial\End Use Projection\Other,Activity Level,"Interp(2025, 0, 2060, 0)",Saturation,,nemo_read commercial domain stand-up 2026-07-22,zero-supply seed (CLAUDE.md SA.18) - Timor Leste is disabled in the LEAP calc; explicit zeros prevent LEAP defaults being inherited on an --include-timor-leste run,,Seed,
Timor Leste,Demand\Commercial\Other Commercial\End Use Projection\Other,Commercial Uncalibrated Energy Intensity,"Interp(2025, 0, 2060, 0)",kWh/m2,,nemo_read commercial domain stand-up 2026-07-22,zero-supply seed (CLAUDE.md SA.18) - Timor Leste is disabled in the LEAP calc; explicit zeros prevent LEAP defaults being inherited on an --include-timor-leste run,,Seed,
Timor Leste,Demand\Commercial\Other Commercial\End Use Projection\Refrigeration,Activity Level,"Interp(2025, 0, 2060, 0)",Saturation,,nemo_read commercial domain stand-up 2026-07-22,zero-supply seed (CLAUDE.md SA.18) - Timor Leste is disabled in the LEAP calc; explicit zeros prevent LEAP defaults being inherited on an --include-timor-leste run,,Seed,
Timor Leste,Demand\Commercial\Other Commercial\End Use Projection\Refrigeration,Commercial Uncalibrated Energy Intensity,"Interp(2025, 0, 2060, 0)",kWh/m2,,nemo_read commercial domain stand-up 2026-07-22,zero-supply seed (CLAUDE.md SA.18) - Timor Leste is disabled in the LEAP calc; explicit zeros prevent LEAP defaults being inherited on an --include-timor-leste run,,Seed,
Timor Leste,Demand\Commercial\Other Commercial\End Use Projection\Water Heating,Activity Level,"Interp(2025, 0, 2060, 0)",Saturation,,nemo_read commercial domain stand-up 2026-07-22,zero-supply seed (CLAUDE.md SA.18) - Timor Leste is disabled in the LEAP calc; explicit zeros prevent LEAP defaults being inherited on an --include-timor-leste run,,Seed,
Timor Leste,Demand\Commercial\Other Commercial\End Use Projection\Water Heating,Commercial Uncalibrated Energy Intensity,"Interp(2025, 0, 2060, 0)",kWh/m2,,nemo_read commercial domain stand-up 2026-07-22,zero-supply seed (CLAUDE.md SA.18) - Timor Leste is disabled in the LEAP calc; explicit zeros prevent LEAP defaults being inherited on an --include-timor-leste run,,Seed,
