branch_leaf,variable,n_rows,unit,disposition,owner,note
All Biomass,Maximum Production,1,Gigajoule,INJECT — provisional,THEM (values) / US (variables),Lite-panel cap. We add the missing Capital Cost / Variable OM Cost VARIABLES (structure is ours); you supply VALUES only. Note Charcoal (All Biomass) and Anaerobic Digestion ALREADY have Variable OM Cost.
Anaerobic Digestion,Maximum Production,1,Gigajoule,INJECT — provisional,THEM (values) / US (variables),Lite-panel cap. We add the missing Capital Cost / Variable OM Cost VARIABLES (structure is ours); you supply VALUES only. Note Charcoal (All Biomass) and Anaerobic Digestion ALREADY have Variable OM Cost.
Biomass,Import Cost,1,2020 USD/Metric Tonne,INJECT as-is,US,"Already authored in all scenarios today — your ""imports are unpriced"" reading is incorrect (see RULINGS ask 5)."
Biomass,Maximum Imports,1,Gigajoule,INJECT — RAS only,US,Optimisation-scenario variable. We scope it to RAS at inject; do not author into BAS/ATS.
CME Biodiesel,Maximum Capacity,10,Million Gigajoules/Year,INJECT — after scenario tag,US (tag) / THEM (author native unit),biodiesel family. Unit is correct (Million Gigajoules/Year). Author values NATIVE in this unit — our adapter is a pass-through and will NOT convert. Your pre-converted series are right; ship those.
CO2 Utilization for Iron and Steel,Maximum Production,1,Gigajoule,INJECT — provisional,THEM (values) / US (variables),Lite-panel cap. We add the missing Capital Cost / Variable OM Cost VARIABLES (structure is ours); you supply VALUES only. Note Charcoal (All Biomass) and Anaerobic Digestion ALREADY have Variable OM Cost.
Cassava,Maximum Capacity,10,Million Tonne Coal Equiv/Year,INJECT — after scenario tag,US (tag) / THEM (author native unit),ethanol family. Unit is correct (Million Tonne Coal Equiv/Year). Author values NATIVE in this unit — our adapter is a pass-through and will NOT convert. Your pre-converted series are right; ship those.
Cellulosic Rice Straw,Maximum Capacity,10,Million Tonne Coal Equiv/Year,HOLD — pending structural create,US (create) / THEM (values stand),Branch does not exist yet. Modelling lead creates it manually (mirrors the Cassava sibling) BEFORE inject. Values accepted as-is; do not resend.
Corn Ethanol,Maximum Capacity,10,Million Tonne Coal Equiv/Year,INJECT — after scenario tag,US (tag) / THEM (author native unit),ethanol family. Unit is correct (Million Tonne Coal Equiv/Year). Author values NATIVE in this unit — our adapter is a pass-through and will NOT convert. Your pre-converted series are right; ship those.
FAME Biodiesel,Maximum Capacity,10,Million Gigajoules/Year,INJECT — after scenario tag,US (tag) / THEM (author native unit),biodiesel family. Unit is correct (Million Gigajoules/Year). Author values NATIVE in this unit — our adapter is a pass-through and will NOT convert. Your pre-converted series are right; ship those.
Hydrogen,Maximum Production,1,Gigajoule,INJECT — provisional,THEM (values) / US (variables),Lite-panel cap. We add the missing Capital Cost / Variable OM Cost VARIABLES (structure is ours); you supply VALUES only. Note Charcoal (All Biomass) and Anaerobic Digestion ALREADY have Variable OM Cost.
Molasses,Maximum Capacity,10,Million Tonne Coal Equiv/Year,INJECT — after scenario tag,US (tag) / THEM (author native unit),ethanol family. Unit is correct (Million Tonne Coal Equiv/Year). Author values NATIVE in this unit — our adapter is a pass-through and will NOT convert. Your pre-converted series are right; ship those.
POME Biodiesel,Maximum Capacity,10,Million Gigajoules/Year,INJECT — after scenario tag,US (tag) / THEM (author native unit),biodiesel family. Unit is correct (Million Gigajoules/Year). Author values NATIVE in this unit — our adapter is a pass-through and will NOT convert. Your pre-converted series are right; ship those.
Production from Hydrogen,Maximum Production,1,Gigajoule,INJECT — provisional,THEM (values) / US (variables),Lite-panel cap. We add the missing Capital Cost / Variable OM Cost VARIABLES (structure is ours); you supply VALUES only. Note Charcoal (All Biomass) and Anaerobic Digestion ALREADY have Variable OM Cost.
Sugarcane,Maximum Capacity,10,Million Tonne Coal Equiv/Year,INJECT — after scenario tag,US (tag) / THEM (author native unit),ethanol family. Unit is correct (Million Tonne Coal Equiv/Year). Author values NATIVE in this unit — our adapter is a pass-through and will NOT convert. Your pre-converted series are right; ship those.
Wood,Import Cost,1,2020 USD/Metric Tonne,INJECT as-is,US,"Already authored in all scenarios today — your ""imports are unpriced"" reading is incorrect (see RULINGS ask 5)."
Wood,Maximum Imports,1,Gigajoule,INJECT — RAS only,US,Optimisation-scenario variable. We scope it to RAS at inject; do not author into BAS/ATS.
