ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Timor Leste,Resources\Primary\Palm Oil,Production Cost,"Interp(2025, 100.510000, 2030, 102.370000, 2035, 102.460000, 2040, 102.440000, 2045, 102.570000, 2050, 102.760000, 2055, 103.030000, 2060, 103.290000)",USD/t FFB,,nemo_read Stage-5 placeholder (Brunei expression broadcast to TL),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Timor Leste,Resources\Primary\Coconut Oil,Production Cost,"Interp(2025, 159.630000, 2030, 162.590000, 2035, 162.720000, 2040, 162.700000, 2045, 162.900000, 2050, 163.210000, 2055, 163.630000, 2060, 164.050000)",USD/t nuts-in-shell,,nemo_read Stage-5 placeholder (Brunei expression broadcast to TL),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Timor Leste,Resources\Primary\Cassava,Production Cost,"Interp(2025, 73.310000, 2030, 74.670000, 2035, 74.730000, 2040, 74.720000, 2045, 74.810000, 2050, 74.950000, 2055, 75.150000, 2060, 75.340000)",USD/t fresh root,,nemo_read Stage-5 placeholder (Brunei expression broadcast to TL),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Timor Leste,Resources\Primary\Molasses,Production Cost,"Interp(2025, 80.0000, 2030, 82.4290, 2035, 84.9317, 2040, 87.5104, 2045, 90.1674, 2050, 92.9051, 2055, 95.7259, 2060, 98.6323)",USD/t molasses,,nemo_read Stage-5 placeholder (Brunei expression broadcast to TL),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Brunei,Resources\Secondary\Methanol,Import Cost,400,2020 USD/Metric Tonne,Methanol,nemo_read Stage-5 placeholder (real-world methanol price ~USD 400/t MMSA range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Cambodia,Resources\Secondary\Methanol,Import Cost,400,2020 USD/Metric Tonne,Methanol,nemo_read Stage-5 placeholder (real-world methanol price ~USD 400/t MMSA range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Indonesia,Resources\Secondary\Methanol,Import Cost,400,2020 USD/Metric Tonne,Methanol,nemo_read Stage-5 placeholder (real-world methanol price ~USD 400/t MMSA range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Laos,Resources\Secondary\Methanol,Import Cost,400,2020 USD/Metric Tonne,Methanol,nemo_read Stage-5 placeholder (real-world methanol price ~USD 400/t MMSA range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Malaysia,Resources\Secondary\Methanol,Import Cost,400,2020 USD/Metric Tonne,Methanol,nemo_read Stage-5 placeholder (real-world methanol price ~USD 400/t MMSA range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Myanmar,Resources\Secondary\Methanol,Import Cost,400,2020 USD/Metric Tonne,Methanol,nemo_read Stage-5 placeholder (real-world methanol price ~USD 400/t MMSA range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
