ams,year,usd_per_bbl,basis,range_low,range_high,confidence,primary_source,note
Brunei,2025,35,break-even,25,40,Low-Medium,Rystad Oct 2024 shelf breakeven proxy; Oil & Gas Journal coverage,No primary BSP disclosure; mature shelf + onshore proxy
Brunei,2030,35,break-even,25,40,Low-Medium,flat-real extension,No trajectory signal
Brunei,2040,35,break-even,25,40,Low-Medium,flat-real extension,
Brunei,2050,35,break-even,25,40,Low-Medium,flat-real extension,
Brunei,2060,35,break-even,25,40,Low-Medium,flat-real extension,
Indonesia,2025,30,break-even,25,35,Medium,DPR briefing via CNBC/Bisnis/Antara + Pertamina FY2024 press; cash lifting $20-30 + ~$10 capex amortisation,Revised from $33.6/bbl undocumented legacy; Cepu <$5 dilutes national average
Indonesia,2030,30,break-even,25,35,Medium,flat-real extension,
Indonesia,2040,30,break-even,25,35,Medium,flat-real extension,
Indonesia,2050,30,break-even,25,35,Medium,flat-real extension,
Indonesia,2060,30,break-even,25,35,Medium,flat-real extension,
Malaysia,2025,50,break-even,45,60,Medium,PETRONAS Upstream CEO Mohd Jukris June 2025 stated target via Energy Connects; PETRONAS Activity Outlook 2025-2027,Stated target down from $60-70 historical 2020-2024
Malaysia,2030,48,break-even,43,58,Medium,Mild decline from cost-optimisation trend,PETRONAS stated optimisation trajectory
Malaysia,2040,48,break-even,43,58,Medium,flat-real extension from 2030,
Malaysia,2050,48,break-even,43,58,Medium,flat-real extension,
Malaysia,2060,48,break-even,43,58,Medium,flat-real extension,
Myanmar,2025,25,break-even,20,35,Low,APAC mature onshore regional proxy; IEA Upstream Investment Report 2024,No primary MOGE disclosure; production 12 kbbl/d so low leverage
Myanmar,2030,25,break-even,20,35,Low,flat-real extension,
Myanmar,2040,25,break-even,20,35,Low,flat-real extension,
Myanmar,2050,25,break-even,20,35,Low,flat-real extension,
Myanmar,2060,25,break-even,20,35,Low,flat-real extension,
Philippines,2025,30,break-even,25,35,Low,Malampaya condensate deep-water proxy; EIA Philippines country profile,Small volume 15 kbbl/d; proxy-based; low leverage on ASEAN aggregate
Philippines,2030,30,break-even,25,35,Low,flat-real extension,
Philippines,2040,30,break-even,25,35,Low,flat-real extension,
Philippines,2050,30,break-even,25,35,Low,flat-real extension,
Philippines,2060,30,break-even,25,35,Low,flat-real extension,
Thailand,2025,35,break-even,30,40,Medium,PTTEP 2024 One Report portfolio unit cost $29.58/BOE + ~15% crude-only upward adjustment,PTTEP is 68% Thailand and gas-heavy; portfolio number skews low for crude-specific
Thailand,2030,35,break-even,30,40,Medium,flat-real extension,
Thailand,2040,35,break-even,30,40,Medium,flat-real extension,
Thailand,2050,35,break-even,30,40,Medium,flat-real extension,
Thailand,2060,35,break-even,30,40,Medium,flat-real extension,
Vietnam,2025,45,break-even,35,55,Low-Medium,MOIT offshore production cost $30-35 + HCMC Securities PVN corporate break-even $50; mid-point,Bach Ho mature higher end; Su Tu newer lower end; no direct PVN AR English figure
Vietnam,2030,45,break-even,35,55,Low-Medium,flat-real extension,
Vietnam,2040,45,break-even,35,55,Low-Medium,flat-real extension,
Vietnam,2050,45,break-even,35,55,Low-Medium,flat-real extension,
Vietnam,2060,45,break-even,35,55,Low-Medium,flat-real extension,
Cambodia,2025,0,n/a,0,0,n/a,Zero production (MaxProd=0),Production Cost variable non-binding; set via Import Cost[ref] convention
Cambodia,2030,0,n/a,0,0,n/a,,
Cambodia,2040,0,n/a,0,0,n/a,,
Cambodia,2050,0,n/a,0,0,n/a,,
Cambodia,2060,0,n/a,0,0,n/a,,
Laos,2025,0,n/a,0,0,n/a,Zero production (MaxProd=0),Production Cost variable non-binding
Laos,2030,0,n/a,0,0,n/a,,
Laos,2040,0,n/a,0,0,n/a,,
Laos,2050,0,n/a,0,0,n/a,,
Laos,2060,0,n/a,0,0,n/a,,
Singapore,2025,0,n/a,0,0,n/a,Zero production (MaxProd=0),Production Cost variable non-binding
Singapore,2030,0,n/a,0,0,n/a,,
Singapore,2040,0,n/a,0,0,n/a,,
Singapore,2050,0,n/a,0,0,n/a,,
Singapore,2060,0,n/a,0,0,n/a,,
