branch,variable,your_unit,leap_unit,status,branch_suggestion,consumer_fuel_hint,fuel_advice,proposed_factor,confidence_stars,conversion_source,conversion_caveat
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Capital Cost,USD/GJ,2020 USD/Gigajoules/Year,mismatch,,,,1.0,3,LEAP capital-cost convention: USD/(GJ/yr of capacity) stores the same numeric value as overnight USD per annual GJ produced.,"If your USD/GJ is amortised (LCOE-style) rather than overnight, divide by capital-recovery factor before using."
Transformation\Biodiesel Production\Processes\CME Biodiesel,Capital Cost,USD/GJ,2020 USD/Gigajoules/Year,mismatch,,,,1.0,3,LEAP capital-cost convention: USD/(GJ/yr of capacity) stores the same numeric value as overnight USD per annual GJ produced.,"If your USD/GJ is amortised (LCOE-style) rather than overnight, divide by capital-recovery factor before using."
Transformation\Biodiesel Production\Processes\POME Biodiesel,Capital Cost,USD/GJ,2020 USD/Gigajoules/Year,mismatch,,,,1.0,3,LEAP capital-cost convention: USD/(GJ/yr of capacity) stores the same numeric value as overnight USD per annual GJ produced.,"If your USD/GJ is amortised (LCOE-style) rather than overnight, divide by capital-recovery factor before using."
Transformation\Bioethanol Production\Processes\Sugarcane,Capital Cost,USD/GJ,2020 USD/Tonne Coal Equiv/Year,mismatch,,,,29.3076,4,"IEA: 1 TCE = 29.3076 GJ (7000 kcal/kg equivalent). USD/GJ × 29.3076 = USD/TCE; LEAP /Year denotes annual capacity, treated as identity.",Same overnight-vs-amortised caveat as USD/GJ → USD/(GJ/yr).
Transformation\Bioethanol Production\Processes\Cassava,Capital Cost,USD/GJ,2020 USD/Tonne Coal Equiv/Year,mismatch,,,,29.3076,4,"IEA: 1 TCE = 29.3076 GJ (7000 kcal/kg equivalent). USD/GJ × 29.3076 = USD/TCE; LEAP /Year denotes annual capacity, treated as identity.",Same overnight-vs-amortised caveat as USD/GJ → USD/(GJ/yr).
Transformation\Bioethanol Production\Processes\Molasses,Capital Cost,USD/GJ,2020 USD/Tonne Coal Equiv/Year,mismatch,,,,29.3076,4,"IEA: 1 TCE = 29.3076 GJ (7000 kcal/kg equivalent). USD/GJ × 29.3076 = USD/TCE; LEAP /Year denotes annual capacity, treated as identity.",Same overnight-vs-amortised caveat as USD/GJ → USD/(GJ/yr).
Transformation\Bioethanol Production\Processes\Corn Ethanol,Capital Cost,USD/GJ,2020 USD/Tonne Coal Equiv/Year,mismatch,,,,29.3076,4,"IEA: 1 TCE = 29.3076 GJ (7000 kcal/kg equivalent). USD/GJ × 29.3076 = USD/TCE; LEAP /Year denotes annual capacity, treated as identity.",Same overnight-vs-amortised caveat as USD/GJ → USD/(GJ/yr).
Transformation\Bioethanol Production\Processes\Cellulosic Rice Straw,Capital Cost,USD/GJ,,no_leap_unit,Transformation\Bioethanol Production\Processes\Corn Ethanol (path_fuzzy); Transformation\Bioethanol Production\Processes (path_fuzzy); Transformation\Bioethanol Production\Processes\Cassava (path_fuzzy),,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Bioethanol Production\Processes\Cassava,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Bioethanol Production\Processes\Cellulosic Rice Straw,Variable OM Cost,USD/GJ,,no_leap_unit,Transformation\Bioethanol Production\Processes\Corn Ethanol (path_fuzzy); Transformation\Bioethanol Production\Processes (path_fuzzy); Transformation\Bioethanol Production\Processes\Cassava (path_fuzzy),,,,0,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Bioethanol Production\Processes\Molasses,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Bioethanol Production\Processes\Sugarcane,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Resources\Secondary\Ethanol,Import Cost,2020 USD/Liter,2020 USD/Liter,match,,,,,0,,
Resources\Secondary\Biodiesel,Import Cost,2020 USD/Liter,2020 USD/Liter,match,,,,,0,,
Resources\Secondary\Methanol,Import Cost,2020 USD/Metric Tonne,2020 USD/Metric Tonne,match,,,,,0,,
Resources\Secondary\Biodiesel,CO2 biogenic,t/TJ,<no unit>,no_leap_unit,Resources\Secondary\Diesel (sibling); Resources\Secondary\Blended Diesel (sibling); Resources\Secondary\Renewable Diesel (sibling),Coconut Oil; Methanol; Palm Oil; Palm Oil Mill Effluent; Biodiesel,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,CO2 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Coconut Oil (same_leaf); Resources\Primary\Coconut Oil (same_leaf); Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Methane (path_fuzzy),,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,NH3 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Coconut Oil (same_leaf); Resources\Primary\Coconut Oil (same_leaf); Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Methane (path_fuzzy),,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,N2O (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Coconut Oil (same_leaf); Resources\Primary\Coconut Oil (same_leaf); Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Methane (path_fuzzy),,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,CH4 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Coconut Oil (same_leaf); Resources\Primary\Coconut Oil (same_leaf); Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Methane (path_fuzzy),,,,0,,
