branch,variable,your_unit,leap_unit,status,branch_suggestion,consumer_fuel_hint,fuel_advice,proposed_factor,confidence_stars,conversion_source,conversion_caveat
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Capital Cost,USD/GJ,2020 USD/Gigajoules/Year,mismatch,,,,1.0,3,LEAP capital-cost convention: USD/(GJ/yr of capacity) stores the same numeric value as overnight USD per annual GJ produced.,"If your USD/GJ is amortised (LCOE-style) rather than overnight, divide by capital-recovery factor before using."
Transformation\Biodiesel Production\Processes\CME Biodiesel,Capital Cost,USD/GJ,2020 USD/Gigajoules/Year,mismatch,,,,1.0,3,LEAP capital-cost convention: USD/(GJ/yr of capacity) stores the same numeric value as overnight USD per annual GJ produced.,"If your USD/GJ is amortised (LCOE-style) rather than overnight, divide by capital-recovery factor before using."
Transformation\Biodiesel Production\Processes\POME Biodiesel,Capital Cost,USD/GJ,2020 USD/Gigajoules/Year,mismatch,,,,1.0,3,LEAP capital-cost convention: USD/(GJ/yr of capacity) stores the same numeric value as overnight USD per annual GJ produced.,"If your USD/GJ is amortised (LCOE-style) rather than overnight, divide by capital-recovery factor before using."
Transformation\Bioethanol Production\Processes\Sugarcane,Capital Cost,USD/GJ,2020 USD/Tonne Coal Equiv/Year,mismatch,,,,29.3076,4,"IEA: 1 TCE = 29.3076 GJ (7000 kcal/kg equivalent). USD/GJ × 29.3076 = USD/TCE; LEAP /Year denotes annual capacity, treated as identity.",Same overnight-vs-amortised caveat as USD/GJ → USD/(GJ/yr).
Transformation\Bioethanol Production\Processes\Cassava,Capital Cost,USD/GJ,2020 USD/Tonne Coal Equiv/Year,mismatch,,,,29.3076,4,"IEA: 1 TCE = 29.3076 GJ (7000 kcal/kg equivalent). USD/GJ × 29.3076 = USD/TCE; LEAP /Year denotes annual capacity, treated as identity.",Same overnight-vs-amortised caveat as USD/GJ → USD/(GJ/yr).
Transformation\Bioethanol Production\Processes\Molasses,Capital Cost,USD/GJ,2020 USD/Tonne Coal Equiv/Year,mismatch,,,,29.3076,4,"IEA: 1 TCE = 29.3076 GJ (7000 kcal/kg equivalent). USD/GJ × 29.3076 = USD/TCE; LEAP /Year denotes annual capacity, treated as identity.",Same overnight-vs-amortised caveat as USD/GJ → USD/(GJ/yr).
Transformation\Bioethanol Production\Processes\Corn Ethanol,Capital Cost,USD/GJ,2020 USD/Tonne Coal Equiv/Year,mismatch,,,,29.3076,4,"IEA: 1 TCE = 29.3076 GJ (7000 kcal/kg equivalent). USD/GJ × 29.3076 = USD/TCE; LEAP /Year denotes annual capacity, treated as identity.",Same overnight-vs-amortised caveat as USD/GJ → USD/(GJ/yr).
Transformation\Biodiesel Production\Processes\CME Biodiesel,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Bioethanol Production\Processes\Cassava,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Bioethanol Production\Processes\Molasses,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Bioethanol Production\Processes\Sugarcane,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Resources\Secondary\Ethanol,Import Cost,2020 USD/Liter,2020 USD/Liter,match,,,,,0,,
Resources\Secondary\Biodiesel,Import Cost,2020 USD/Liter,2020 USD/Liter,match,,,,,0,,
Resources\Secondary\Methanol,Import Cost,2020 USD/Metric Tonne,2020 USD/Metric Tonne,match,,,,,0,,
Resources\Primary\Palm Oil,Area Harvested,Thousand ha,Thousand ha,match,,,,,0,,
Resources\Primary\Palm Oil,Crop Yield,t/ha,t/ha,match,,,,,0,,
Resources\Primary\Palm Oil,Maximum Production,Metric Tonne,Metric Tonne,match,,,,,0,,
Resources\Primary\Coconut Oil,Area Harvested,Thousand ha,Thousand ha,match,,,,,0,,
Resources\Primary\Coconut Oil,Crop Yield,t/ha,t/ha,match,,,,,0,,
Resources\Primary\Coconut Oil,Maximum Production,Metric Tonne,Metric Tonne,match,,,,,0,,
Resources\Primary\Sugarcane,Area Harvested,Thousand ha,Thousand ha,match,,,,,0,,
Resources\Primary\Sugarcane,Crop Yield,t/ha,t/ha,match,,,,,0,,
Resources\Primary\Sugarcane,Maximum Production,Metric Tonne,Metric Tonne,match,,,,,0,,
Resources\Primary\Cassava,Area Harvested,Thousand ha,Thousand ha,match,,,,,0,,
Resources\Primary\Cassava,Crop Yield,t/ha,t/ha,match,,,,,0,,
Resources\Primary\Cassava,Maximum Production,Metric Tonne,Metric Tonne,match,,,,,0,,
Resources\Primary\Corn,Area Harvested,Thousand ha,Thousand ha,match,,,,,0,,
Resources\Primary\Corn,Crop Yield,t/ha,t/ha,match,,,,,0,,
Resources\Primary\Corn,Maximum Production,Metric Tonne,Metric Tonne,match,,,,,0,,
Resources\Primary\Cassava,Production Cost,USD/t fresh root,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of cassava fresh root is one tonne — commodity tag is descriptive only.,
Resources\Primary\Coconut Oil,Production Cost,USD/t nuts-in-shell,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of coconut nuts-in-shell is one tonne — commodity tag is descriptive only.,
Resources\Primary\Corn,Production Cost,2020 USD/Metric Tonne,2020 USD/Metric Tonne,match,,,,,0,,
Resources\Primary\Palm Oil,Production Cost,USD/t FFB,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of palm FFB is one tonne — commodity tag is descriptive only.,
Resources\Primary\Sugarcane,Production Cost,USD/t cane,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of sugarcane is one tonne — commodity tag is descriptive only.,
Resources\Primary\Cassava,Import Cost,USD/t fresh root,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of cassava fresh root is one tonne — commodity tag is descriptive only.,
Resources\Primary\Coconut Oil,Import Cost,USD/t nuts-in-shell,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of coconut nuts-in-shell is one tonne — commodity tag is descriptive only.,
